usertype,route,num_trips,duration
Subscriber,W 52 St & 5 Ave to Central Park West & W 100 St,1,21.98
Customer,W 52 St & 5 Ave to Lexington Ave & E 26 St,1,16.57
Subscriber,W 52 St & 5 Ave to Forsyth St & Canal St,1,43.38
Subscriber,W 52 St & 5 Ave to Clinton St & Tillary St,1,45.42
Customer,W 52 St & 5 Ave to E 84 St & Park Ave,1,15.58
Customer,W 52 St & 5 Ave to Bank St & Hudson St,1,34.77
Customer,W 52 St & 5 Ave to E 58 St & 3 Ave,1,8.62
Subscriber,W 52 St & 5 Ave to 48 Ave & 5 St,1,20.95
Customer,W 52 St & 5 Ave to Lafayette St & E 8 St,1,246.82
Subscriber,W 52 St & 5 Ave to Fulton St & Rockwell Pl,1,41.73
Subscriber,W 52 St & 5 Ave to Division St & Bowery,1,37.85
Subscriber,W 52 St & 5 Ave to Metropolitan Ave & Bedford Ave,1,33.07
Customer,W 52 St & 5 Ave to E 48 St & 5 Ave,1,10.87
Subscriber,W 52 St & 5 Ave to Central Park West & W 102 St,1,21.8
Customer,W 52 St & 5 Ave to E 11 St & 1 Ave,1,29.45
